2026-04-05,00:00:00,11
2026-04-05,00:00:00,6
2026-04-05,00:00:00,9
2026-04-05,00:00:00,7
2026-04-05,00:00:00,7
2026-04-05,00:00:00,3
2026-04-05,00:00:00,5
2026-04-05,00:00:00,5
2026-04-05,00:00:00,5
2026-04-05,00:00:00,5
2026-04-05,00:00:00,7
2026-04-05,00:00:00,8
2026-04-05,00:00:00,6
2026-04-05,00:00:00,8
2026-04-05,00:00:00,8
2026-04-05,00:00:00,6
2026-04-05,00:00:00,5
2026-04-05,00:00:00,17
2026-04-05,00:00:00,12
2026-04-05,00:00:00,9
2026-04-05,00:00:00,7
2026-04-05,00:00:00,3
2026-04-05,00:00:00,8
2026-04-05,00:00:00,9
2026-04-05,00:00:00,6
2026-04-05,00:00:00,5
2026-04-05,00:00:00,13
2026-04-05,00:00:00,12
2026-04-05,00:00:00,6
2026-04-05,00:00:00,5
2026-04-05,00:00:00,8
2026-04-05,00:00:00,8
2026-04-05,00:00:00,13
2026-04-05,00:00:00,10
2026-04-05,00:00:00,13
2026-04-05,00:00:00,10
2026-04-05,00:00:00,21
2026-04-05,00:00:00,7
2026-04-05,00:00:00,5
2026-04-05,00:00:00,9
2026-04-05,00:00:00,5
2026-04-05,00:00:00,6
2026-04-05,00:00:00,9
2026-04-05,00:00:00,14
2026-04-05,00:00:00,2
2026-04-05,00:00:00,5
2026-04-05,00:00:00,10
2026-04-05,00:00:00,9
2026-04-05,00:00:00,21
2026-04-05,00:00:00,9
2026-04-05,00:00:00,4
2026-04-05,00:00:00,8
2026-04-05,00:00:00,8
2026-04-05,00:00:00,12
2026-04-05,00:00:00,6
2026-04-05,00:00:00,10
2026-04-05,00:00:00,8
2026-04-05,00:00:00,13
2026-04-05,00:00:00,14
2026-04-05,00:00:00,6
2026-04-05,00:00:00,17
2026-04-05,00:00:00,4
2026-04-05,00:00:00,12
2026-04-05,00:00:00,7
2026-04-05,00:00:00,8
2026-04-05,00:00:00,13
2026-04-05,00:00:00,7
2026-04-05,00:00:00,11
2026-04-05,00:00:00,5
2026-04-05,00:00:00,8
2026-04-05,00:00:00,9
2026-04-05,00:00:00,8
2026-04-05,00:00:00,4
2026-04-05,00:00:00,4
2026-04-05,00:00:00,4
2026-04-05,00:00:00,5
2026-04-05,00:00:00,9
2026-04-05,00:00:00,11
2026-04-05,00:00:00,6
2026-04-05,00:00:00,9
2026-04-05,00:00:00,5
2026-04-05,00:00:00,12
2026-04-05,00:00:00,10
2026-04-05,00:00:00,6
2026-04-05,00:00:00,7
2026-04-05,00:00:00,4
2026-04-05,00:00:00,14
2026-04-05,00:00:00,15
2026-04-05,00:00:00,3
2026-04-05,00:00:00,16
2026-04-05,00:00:00,8
2026-04-05,00:00:00,6
2026-04-05,00:00:00,6
2026-04-05,00:00:00,9
2026-04-05,00:00:00,10
2026-04-05,00:00:00,5
2026-04-05,00:00:00,15
2026-04-05,00:00:00,4
2026-04-05,00:00:00,7
2026-04-05,00:00:00,9
2026-04-05,00:00:00,10
2026-04-05,00:00:00,5
2026-04-05,00:00:00,13
2026-04-05,00:00:00,7
2026-04-05,00:00:00,5
2026-04-05,00:00:00,7
2026-04-05,00:00:00,14
2026-04-05,00:00:00,15
2026-04-05,00:00:00,7
2026-04-05,00:00:00,13
2026-04-05,00:00:00,12
2026-04-05,00:00:00,6
2026-04-05,00:00:00,5
2026-04-05,00:00:00,7
2026-04-05,00:00:00,9
2026-04-05,00:00:00,7
2026-04-05,00:00:00,15
2026-04-05,00:00:00,16
2026-04-05,00:00:00,10
2026-04-05,00:00:00,5
2026-04-05,00:00:00,21
2026-04-05,00:00:00,12
2026-04-05,00:00:00,11
2026-04-05,00:00:00,9
2026-04-05,00:00:00,14
2026-04-05,00:00:00,13
2026-04-05,00:00:00,30
2026-04-05,00:00:00,19
2026-04-05,00:00:00,8
2026-04-05,00:00:00,5
2026-04-05,00:00:00,12
2026-04-05,00:00:00,6
2026-04-05,00:00:00,6
2026-04-05,00:00:00,4
2026-04-05,00:00:00,6
2026-04-05,00:00:00,11
2026-04-05,00:00:00,6
2026-04-05,00:00:00,5
2026-04-05,00:00:00,6
2026-04-05,00:00:00,10
2026-04-05,00:00:00,4
2026-04-05,00:00:00,10
2026-04-05,00:00:00,19
2026-04-05,00:00:00,11
2026-04-05,00:00:00,11
2026-04-05,00:00:00,16
2026-04-05,00:00:00,5
2026-04-05,00:00:00,8
2026-04-05,00:00:00,3
2026-04-05,00:00:00,11
2026-04-05,00:00:00,7
2026-04-05,00:00:00,14
2026-04-05,00:00:00,7
2026-04-05,00:00:00,15
2026-04-05,00:00:00,6
2026-04-05,00:00:00,10
2026-04-05,00:00:00,10
2026-04-05,00:00:00,10
2026-04-05,00:00:00,11
2026-04-05,00:00:00,10
2026-04-05,00:00:00,5
2026-04-05,00:00:00,6
2026-04-05,00:00:00,4
2026-04-05,00:00:00,13
2026-04-05,00:00:00,4
2026-04-05,00:00:00,5
2026-04-05,00:00:00,4
2026-04-05,00:00:00,7
2026-04-05,00:00:00,12
2026-04-05,00:00:00,7
2026-04-05,00:00:00,5
2026-04-05,00:00:00,10
2026-04-05,00:00:00,20
2026-04-05,00:00:00,11
2026-04-05,00:00:00,15
2026-04-05,00:00:00,12
2026-04-05,00:00:00,7
2026-04-05,00:00:00,10
2026-04-05,00:00:00,5
2026-04-05,00:00:00,6
2026-04-05,00:00:00,7
2026-04-05,00:00:00,6
2026-04-05,00:00:00,7
2026-04-05,00:00:00,11
2026-04-05,00:00:00,7
2026-04-05,00:00:00,6
2026-04-05,00:00:00,16
2026-04-05,00:00:00,4
2026-04-05,00:00:00,9
2026-04-05,00:00:00,11
2026-04-05,00:00:00,11
2026-04-05,00:00:00,12
2026-04-05,00:00:00,9
2026-04-05,00:00:00,11
2026-04-06,00:00:00,9
2026-04-06,00:00:00,5
2026-04-06,00:00:00,6
2026-04-06,00:00:00,7
2026-04-06,00:00:00,18
2026-04-06,00:00:00,9
2026-04-06,00:00:00,8
2026-04-06,00:00:00,8
2026-04-06,00:00:00,9
2026-04-06,00:00:00,14
2026-04-06,00:00:00,6
2026-04-06,00:00:00,11
2026-04-06,00:00:00,14
2026-04-06,00:00:00,10
2026-04-06,00:00:00,11
2026-04-06,00:00:00,5
2026-04-06,00:00:00,12
2026-04-06,00:00:00,10
2026-04-06,00:00:00,9
2026-04-06,00:00:00,9
2026-04-06,00:00:00,3
2026-04-06,00:00:00,8
2026-04-06,00:00:00,9
2026-04-06,00:00:00,13
2026-04-06,00:00:00,5
2026-04-06,00:00:00,11
2026-04-06,00:00:00,16
2026-04-06,00:00:00,8
2026-04-06,00:00:00,5
2026-04-06,00:00:00,9
2026-04-06,00:00:00,6
2026-04-06,00:00:00,7
2026-04-06,00:00:00,7
2026-04-06,00:00:00,5
2026-04-06,00:00:00,6
2026-04-06,00:00:00,5
2026-04-06,00:00:00,6
2026-04-06,00:00:00,7
2026-04-06,00:00:00,11
2026-04-06,00:00:00,7
2026-04-06,00:00:00,17
2026-04-06,00:00:00,9
2026-04-06,00:00:00,8
2026-04-06,00:00:00,6
2026-04-06,00:00:00,22
2026-04-06,00:00:00,11
2026-04-06,00:00:00,5
2026-04-06,00:00:00,18
2026-04-06,00:00:00,8
2026-04-06,00:00:00,15
2026-04-06,00:00:00,7
2026-04-06,00:00:00,8
2026-04-06,00:00:00,8
2026-04-06,00:00:00,5
2026-04-06,00:00:00,7
2026-04-06,00:00:00,6
2026-04-06,00:00:00,7
2026-04-06,00:00:00,8
2026-04-06,00:00:00,9
2026-04-06,00:00:00,4
2026-04-06,00:00:00,25
2026-04-06,00:00:00,6
2026-04-06,00:00:00,8
2026-04-06,00:00:00,7
2026-04-06,00:00:00,5
2026-04-06,00:00:00,13
2026-04-06,00:00:00,9
2026-04-06,00:00:00,4
2026-04-06,00:00:00,9
2026-04-06,00:00:00,10
2026-04-06,00:00:00,14
2026-04-06,00:00:00,16
2026-04-06,00:00:00,17
2026-04-06,00:00:00,12
2026-04-06,00:00:00,6
2026-04-06,00:00:00,7
2026-04-06,00:00:00,8
2026-04-06,00:00:00,13
2026-04-06,00:00:00,7
2026-04-06,00:00:00,17
2026-04-06,00:00:00,7
2026-04-06,00:00:00,9
2026-04-06,00:00:00,10
2026-04-06,00:00:00,5
2026-04-06,00:00:00,5
2026-04-06,00:00:00,9
2026-04-06,00:00:00,10
2026-04-06,00:00:00,5
2026-04-06,00:00:00,13
2026-04-06,00:00:00,17
2026-04-06,00:00:00,13
2026-04-06,00:00:00,20
2026-04-06,00:00:00,17
2026-04-06,00:00:00,4
2026-04-06,00:00:00,8
2026-04-06,00:00:00,6
2026-04-06,00:00:00,9
2026-04-06,00:00:00,11
2026-04-06,00:00:00,17
2026-04-06,00:00:00,15
2026-04-06,00:00:00,8
2026-04-06,00:00:00,11
2026-04-06,00:00:00,10
2026-04-06,00:00:00,6
2026-04-06,00:00:00,9
2026-04-06,00:00:00,11
2026-04-06,00:00:00,7
2026-04-06,00:00:00,10
2026-04-06,00:00:00,15
2026-04-06,00:00:00,15
2026-04-06,00:00:00,7
2026-04-06,00:00:00,5
2026-04-06,00:00:00,6
2026-04-06,00:00:00,7
2026-04-06,00:00:00,18
2026-04-06,00:00:00,9
2026-04-06,00:00:00,5
2026-04-06,00:00:00,5
2026-04-06,00:00:00,9
2026-04-06,00:00:00,10
2026-04-06,00:00:00,12
2026-04-06,00:00:00,8
2026-04-06,00:00:00,11
2026-04-06,00:00:00,8
2026-04-06,00:00:00,7
2026-04-06,00:00:00,23
2026-04-06,00:00:00,11
2026-04-06,00:00:00,20
2026-04-06,00:00:00,18
2026-04-06,00:00:00,14
2026-04-06,00:00:00,4
2026-04-06,00:00:00,9
2026-04-06,00:00:00,6
2026-04-06,00:00:00,7
2026-04-06,00:00:00,7
2026-04-06,00:00:00,5
2026-04-06,00:00:00,5
2026-04-06,00:00:00,8
2026-04-06,00:00:00,14
2026-04-06,00:00:00,4
2026-04-06,00:00:00,7
2026-04-06,00:00:00,10
2026-04-06,00:00:00,11
2026-04-06,00:00:00,12
2026-04-06,00:00:00,9
2026-04-06,00:00:00,4
2026-04-06,00:00:00,9
2026-04-06,00:00:00,10
2026-04-06,00:00:00,17
2026-04-06,00:00:00,5
2026-04-06,00:00:00,14
2026-04-06,00:00:00,7
2026-04-06,00:00:00,8
2026-04-06,00:00:00,10
2026-04-06,00:00:00,14
2026-04-06,00:00:00,23
2026-04-06,00:00:00,10
2026-04-06,00:00:00,27
2026-04-06,00:00:00,5
2026-04-06,00:00:00,11
2026-04-06,00:00:00,17
2026-04-06,00:00:00,13
2026-04-06,00:00:00,17
2026-04-06,00:00:00,5
2026-04-06,00:00:00,4
2026-04-06,00:00:00,11
2026-04-06,00:00:00,14
2026-04-06,00:00:00,15
2026-04-06,00:00:00,16
2026-04-06,00:00:00,9
2026-04-06,00:00:00,8
2026-04-06,00:00:00,13
2026-04-06,00:00:00,12
2026-04-06,00:00:00,5
2026-04-06,00:00:00,8
2026-04-06,00:00:00,18
2026-04-06,00:00:00,8
2026-04-06,00:00:00,10
2026-04-06,00:00:00,5
2026-04-06,00:00:00,16
2026-04-06,00:00:00,6
2026-04-06,00:00:00,9
2026-04-06,00:00:00,6
2026-04-06,00:00:00,26
2026-04-06,00:00:00,21
2026-04-06,00:00:00,7
2026-04-06,00:00:00,15
2026-04-06,00:00:00,8
2026-04-06,00:00:00,11
2026-04-07,00:00:00,12
2026-04-07,00:00:00,12
2026-04-07,00:00:00,10
2026-04-07,00:00:00,19
2026-04-07,00:00:00,6
2026-04-07,00:00:00,10
2026-04-07,00:00:00,7
2026-04-07,00:00:00,22
2026-04-07,00:00:00,21
2026-04-07,00:00:00,16
2026-04-07,00:00:00,11
2026-04-07,00:00:00,15
2026-04-07,00:00:00,12
2026-04-07,00:00:00,6
2026-04-07,00:00:00,10
2026-04-07,00:00:00,24
2026-04-07,00:00:00,5
2026-04-07,00:00:00,10
2026-04-07,00:00:00,5
2026-04-07,00:00:00,14
2026-04-07,00:00:00,12
2026-04-07,00:00:00,9
2026-04-07,00:00:00,6
2026-04-07,00:00:00,9
2026-04-07,00:00:00,9
2026-04-07,00:00:00,7
2026-04-07,00:00:00,5
2026-04-07,00:00:00,8
2026-04-07,00:00:00,6
2026-04-07,00:00:00,9
2026-04-07,00:00:00,12
2026-04-07,00:00:00,13
2026-04-07,00:00:00,4
2026-04-07,00:00:00,11
2026-04-07,00:00:00,15
2026-04-07,00:00:00,17
2026-04-07,00:00:00,23
2026-04-07,00:00:00,9
2026-04-07,00:00:00,5
2026-04-07,00:00:00,18
2026-04-07,00:00:00,25
2026-04-07,00:00:00,18
2026-04-07,00:00:00,9
2026-04-07,00:00:00,25
2026-04-07,00:00:00,16
2026-04-07,00:00:00,19
2026-04-07,00:00:00,12
2026-04-07,00:00:00,8
2026-04-07,00:00:00,8
2026-04-07,00:00:00,15
2026-04-07,00:00:00,20
2026-04-07,00:00:00,22
2026-04-07,00:00:00,29
2026-04-07,00:00:00,16
2026-04-07,00:00:00,8
2026-04-07,00:00:00,9
2026-04-07,00:00:00,4
2026-04-07,00:00:00,5
2026-04-07,00:00:00,8
2026-04-07,00:00:00,9
2026-04-07,00:00:00,18
2026-04-07,00:00:00,18
2026-04-07,00:00:00,19
2026-04-07,00:00:00,16
2026-04-07,00:00:00,10
2026-04-07,00:00:00,17
2026-04-07,00:00:00,8
2026-04-07,00:00:00,27
2026-04-07,00:00:00,13
2026-04-07,00:00:00,9
2026-04-07,00:00:00,9
2026-04-07,00:00:00,4
2026-04-07,00:00:00,12
2026-04-07,00:00:00,8
2026-04-07,00:00:00,17
